Full Name,Abbreviation
Areas 1 And 2 Of Cortex,Ar12
Area 10 Of Cortex,A10C
Area 11 Of Cortex,A11C
Area 13 Of Cortex Lateral Part,A13L
Area 13 Of Cortex Medial Part,A13M
Area 13A Of Cortex,A13A
Area 13B Of Cortex,A13B
Area 14 Of Cortex Caudal Part,A14C
Area 14 Of Cortex Rostral Part,A14R
Area 19 Of Cortex Dorsointermediate Part,A19D
Area 19 Of Cortex Medial Part,A19M
Area 23 Of Cortex Ventral Part,A23V
Area 23A Of Cortex,A23A
Area 23B Of Cortex,A23B
Area 23C Of Cortex,A23C
Area 24A Of Cortex,A24A
Area 24B Of Cortex,A24B
Area 24C Of Cortex,A24C
Area 24D Of Cortex,A24D
Area 25 Of Cortex,A25C
Area 29A-C Of Cortex,A29A
Area 29D Of Cortex,A29D
Area 30 Of Cortex,A30C
Area 31 Of Cortex,A31C
Area 32 Of Cortex,A32C
Area 32 Of Cortex Ventral Part,A32V
Area 35 Of Cortex,A35C
Area 36 Of Cortex,A36C
Area 3A Of Cortex (Somatosensory),A3As
Area 3B Of Cortex (Somatosensory),A3Bs
Area 45 Of Cortex,A45C
Area 46 Of Cortex Dorsal Part,A46D
Area 46 Of Cortex Ventral Part,A46V
Area 47 (Old 12) Of Cortex Lateral Part,A47L
Area 47 (Old 12) Of Cortex Medial Part,A47M
Area 47 (Old 12) Of Cortex Orbital Part,A47O
Area 4 Of Cortex Parts A And B (Primary Motor),A4Ab
Area 4 Of Cortex Part C (Primary Motor),A4C
Area 6 Of Cortex Dorsocaudal Part,A6Cd
Area 6 Of Cortex Dorsorostral Part,A6Cr
Area 6 Of Cortex Medial (Supplementary Motor) Part,A6Ms
Area 6 Of Cortex Ventral Part A,A6Va
Area 6 Of Cortex Ventral Part B,A6Vb
Area 8 Of Cortex Caudal Part,A8Cc
Area 8A Of Cortex Dorsal Part,A8Ad
Area 8A Of Cortex Ventral Par,A8Av
Area 8B Of Cortex,A8Bc
Area 9 Of Cortex,A9Cc
Anterior Cingulate Cortex,Accc
Agranular Insular Cortex,Aicx
Anterior Intraparietal Area Of Cortex,Aipa
Amygdalopiriform Transition Area,Apta
Auditory Cortex,Audc
Auditory Cortex Primary Area,Aud1
Auditory Cortex Anterolateral Area,Auda
Auditory Cortex Caudolateral Area,Audb
Auditory Cortex Caudomedial Area,Audc
Auditory Cortex Caudal Parabelt Area,Audp
Auditory Cortex Middle Lateral Area,Audm
Auditory Cortex Rostral Area,Audr
Auditory Cortex Rostromedial Area,Audm
Auditory Cortex Rostral Parabelt,Audp
Auditory Cortex Rostrotemporal,Audt
Auditory Cortex Rostrotemporal Lateral Area,Audl
Auditory Cortex Rostrotemporal Medial Area,Audm
Brain,Brn1
Dysgranular Insular Cortex,Igcx
Dorsolateral Prefrontal Cortex,Dlpf
Dorsal Pallium,Dpal
Entorhinal Cortex,Etcx
Fundus Of Superior Temporal Sulcus Area Of Cortex,Fsra
Granular Insular Cortex,Igcg
Gustatory Cortex,Gust
Insular Cortex,Insc
Insular Proisocortex,Insp
Lateral Intraparietal Area Of Cortex,Lipl
Lateral And Inferior Temporal Cortical Region,Litc
Lateropallial Part,Ltpa
Medial Intraparietal Area Of Cortex,Mipc
Medial Prefrontal Cortex,Mpfc
Medial Superior Temporal Area Of Cortex,Msta
Orbital Frontal Cortex,Ofcx
Orbital Periallocortex,Opac
Orbital Proisocortex,Oprp
Occipito-Parietal Transitional Area Of Cortex,Opta
Posterior Cingulate Medial And Retrosplenial Cortical Regions,Pcmr
Parietal Area Pe,Pape
Parietal Area Pe Caudal Part,Pecp
Parietal Area Pf (Cortex),Pfpf
Parietal Area Pfg (Cortex),Pfgc
Parietal Area Pg,Pgal
Parietal Area Pg Medial Part (Cortex),Pgmc
Parietal Areas Pga And Ipa (Fundus Of Superior Temporal Ventral Area),Pgip
Posterior Parietal Cortex,Ppcx
Motor And Premotor Cortical Regions,Mprm
Parainsular Cortex Lateral Part,Plic
Parainsular Cortex Medial Part,Plim
Pallium,Pllm
Pallial Amygdala,Paam
Piriform Cortex,Pifc
Piriform Cortex,Pifc
Prosencephalon,Prse
Proisocortical Motor Region (Precentral Opercular Cortex),Pmrc
Prostriate Area,Psta
Retroinsular Area (Cortex),Riac
Secondary Somatosensory Cortex External Part,Ssee
Secondary Somatosensory Cortex Internal Part,Ssii
Secondary Somatosensory Cortex Parietal Rostral Area,Sspr
Secondary Somatosensory Cortex Parietal Ventral Area,Sspv
Somatosensory Cortex,Somc
Superior Temporal Rostral Area (Cortex),Stra
Temporal Area Te1 (Inferior Temporal Cortex),Te1C
Temporal Area Te2 (Inferior Temporal Cortex),Te2C
Temporal Area Te3 (Inferior Temporal Cortex),Te3C
Temporal Area Te Occipital Part,Teoc
Temporal Area Tf,Temp
Temporal Area Tf Occipital Part,Teof
Temporal Area Th,Tehc
Temporal Area Tl,Telc
Temporal Area Tl Occipital Part,Tlrc
Temporo-Parieto-Occipital Association Area (Superior Temporal Polysensory Cortex),Tpoa
Temporopolar Proisocortex,Tprc
Temporal Proisocortex,Tprc
Temporoparietal Transitional Area,Tprt
Telencephalon,Tel1
Primary Visual Cortex,V1
Visual Area 2,V2
Visual Area 3 (Ventrolateral Posterior Area),V3
Visual Area 3A (Dorsoanterior Area),V3A
Visual Area 4 (Ventrolatereral Anterior Area),V4
Visual Area 4 Transitional Part (Middle Temporal Crescent),V4T
Visual Area 5 (Middle Temporal Area),V5
Visual Area 6 (Dorsomedial Area),V6
Visual Area 6A (Posterior Parietal Medial Area),V6A
Ventral Intraparietal Area Of Cortex,Vip
Visual Cortex,Visc
Ventrolateral Prefrontal Cortex,Vlfp
Ventral Pallium,Vpal
Ventral Areas Of The Temporal Lobe,Vatl
