data	data	19064	13112	40046	39544	7554	9430	37180	25354	4862	3506	7412	10572	17314	8332	9864	8104	10606	7350	47564	36904	900	792	38250	23016	5262	7746	3884	5266	18440	10994	13598	16184	6740	14546	2590	3348	8268	10292	3474	3762	1342	2902	16008	15616	15516	15512	12702	16478	15888	17520	31726	20376	6886	6852	22888	20260	12428	10396	9858	9650	16856	5368	6560	5180	11072	11290	17238	16904	8918	8782	8528	12828	12268	11656	1764	746	3164	3200	3124	4372	21984	12766	10586	6336	29604	20240	1616	1718	27668	15768	29094	29796	15382	16616	446	2094	8698	10468	22908	22184	4734	2972	10434	7904	2022	2144	420	406	214	300	5792	4516	2954	3006	584	386	
data	data	aal116_mni_2001	aal116_mni_2002	aal116_mni_2101	aal116_mni_2102	aal116_mni_2111	aal116_mni_2112	aal116_mni_2201	aal116_mni_2202	aal116_mni_2211	aal116_mni_2212	aal116_mni_2301	aal116_mni_2302	aal116_mni_2311	aal116_mni_2312	aal116_mni_2321	aal116_mni_2322	aal116_mni_2331	aal116_mni_2332	aal116_mni_2401	aal116_mni_2402	aal116_mni_2501	aal116_mni_2502	aal116_mni_2601	aal116_mni_2602	aal116_mni_2611	aal116_mni_2612	aal116_mni_2701	aal116_mni_2702	aal116_mni_3001	aal116_mni_3002	aal116_mni_4001	aal116_mni_4002	aal116_mni_4011	aal116_mni_4012	aal116_mni_4021	aal116_mni_4022	aal116_mni_4101	aal116_mni_4102	aal116_mni_4111	aal116_mni_4112	aal116_mni_4201	aal116_mni_4202	aal116_mni_5001	aal116_mni_5002	aal116_mni_5011	aal116_mni_5012	aal116_mni_5021	aal116_mni_5022	aal116_mni_5101	aal116_mni_5102	aal116_mni_5201	aal116_mni_5202	aal116_mni_5301	aal116_mni_5302	aal116_mni_5401	aal116_mni_5402	aal116_mni_6001	aal116_mni_6002	aal116_mni_6101	aal116_mni_6102	aal116_mni_6201	aal116_mni_6202	aal116_mni_6211	aal116_mni_6212	aal116_mni_6221	aal116_mni_6222	aal116_mni_6301	aal116_mni_6302	aal116_mni_6401	aal116_mni_6402	aal116_mni_7001	aal116_mni_7002	aal116_mni_7011	aal116_mni_7012	aal116_mni_7021	aal116_mni_7022	aal116_mni_7101	aal116_mni_7102	aal116_mni_8101	aal116_mni_8102	aal116_mni_8111	aal116_mni_8112	aal116_mni_8121	aal116_mni_8122	aal116_mni_8201	aal116_mni_8202	aal116_mni_8211	aal116_mni_8212	aal116_mni_8301	aal116_mni_8302	aal116_mni_9001	aal116_mni_9002	aal116_mni_9011	aal116_mni_9012	aal116_mni_9021	aal116_mni_9022	aal116_mni_9031	aal116_mni_9032	aal116_mni_9041	aal116_mni_9042	aal116_mni_9051	aal116_mni_9052	aal116_mni_9061	aal116_mni_9062	aal116_mni_9071	aal116_mni_9072	aal116_mni_9081	aal116_mni_9082	aal116_mni_9100	aal116_mni_9110	aal116_mni_9120	aal116_mni_9130	aal116_mni_9140	aal116_mni_9150	aal116_mni_9160	aal116_mni_9170	
19064	aal116_mni_2001	0	0	417	0	0	0	1011	0	0	0	939	0	493	0	0	0	888	0	1193	151	0	0	0	0	0	0	0	0	1375	0	0	0	0	0	0	0	84	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2203	0	0	0	21	0	10	0	0	0	0	0	101	0	31	0	0	0	8	0	60	0	280	0	75	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13112	aal116_mni_2002	0	0	0	769	0	0	0	1127	0	0	0	1521	0	0	0	0	0	257	16	101	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2191	0	0	0	0	0	0	0	0	0	0	0	38	0	104	0	8	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
40046	aal116_mni_2101	417	0	0	27	109	0	5354	79	215	0	12	0	515	0	553	0	12	0	1689	209	0	0	7777	535	56	0	34	0	271	0	98	38	216	149	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	803	0	636	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
39544	aal116_mni_2102	0	769	27	0	0	199	9	5434	0	60	0	120	0	375	0	423	0	23	981	3307	0	0	1536	2881	0	12	0	0	0	106	202	514	0	209	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	17	0	1205	0	1092	0	113	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
7554	aal116_mni_2111	0	0	109	0	0	0	32	0	569	0	0	0	0	0	423	0	0	0	0	0	0	0	160	0	655	0	1034	0	53	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	475	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
9430	aal116_mni_2112	0	0	0	199	0	0	0	151	0	939	0	0	0	24	0	722	0	0	0	0	0	25	103	153	24	399	0	1084	0	0	23	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	0	530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37180	aal116_mni_2201	1011	0	5354	9	32	0	0	13	325	0	495	0	4215	0	807	0	153	0	4066	258	0	0	1165	0	0	0	0	0	386	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	8	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25354	aal116_mni_2202	0	1127	79	5434	0	151	13	0	0	285	0	1189	0	1342	0	992	0	122	335	1239	0	0	0	18	0	0	0	0	0	85	0	8	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
